Instrument Type	GDTF Fixture Mode	Fixture ID	DMX Footprint	Purpose	Position	Channel	Universe/Address	Circuit Number	Circuit Name	__UID	Wattage
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	301	1/24	1	C	1028.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	312	1/208	2	C	1029.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	311	1/231	2	C	1038.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	310	1/254	1	C	1039.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	309	1/277	1	C	1040.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	308	1/300	1	C	1041.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	307	1/323	1	C	1037.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	306	1/346	1	C	1036.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	305	1/369	1	C	1030.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	304	1/392	1	C	1031.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	303	1/415	1	C	1042.1.1.0.0	77 W
Chauvet COLORband H9 USB	-	Chauvet COLORband H9 USB	23	Drape Uplight	USC	302	1/438	1	C	1043.1.1.0.0	77 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	201	2/1	1	A	1001.1.1.0.1	339 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	208	2/34	6	A	1002.1.1.0.1	339 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	207	2/67	5	A	1003.1.1.0.1	339 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	206	2/100	4	A	1005.1.1.0.1	339 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	204	2/166	3	A	1004.1.1.0.1	339 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	202	2/232	2	A	1006.1.1.0.1	339 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	1	2/493	1	B *208	1008.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	2	2/494	1	B *208	1009.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	3	2/495	2	B *208	1010.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	4	2/496	2	B *208	1011.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	5	2/497	3	B *208	1012.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	6	2/498	3	B *208	1013.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	12	2/505	6	B *208	1019.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	11	2/506	6	B *208	1018.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	10	2/507	5	B *208	1017.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	9	2/508	5	B *208	1016.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	8	2/500	4	B *208	1015.1.1.0.1	221 W
E-260 WW 36 Degree	-	E-260 WW 36 Degree	1	Front Wash	T2:70'	7	2/499	4	B *208	1014.1.1.0.1	221 W
Chauvet MK3 Profile	-	Maverick MK3 Profile	38	Room Gobo	T2:70'	101	2/265	1	B *208	1021.1.1.0.1	1070 W
Chauvet MK3 Profile	-	Maverick MK3 Profile	38	Room Gobo	T2:70'	102	2/341	2	B *208	1022.1.1.0.1	1070 W
Chauvet MK3 Profile	-	Maverick MK3 Profile	38	Room Gobo	T2:70'	103	2/379	3	B *208	1023.1.1.0.1	1070 W
Chauvet MK3 Profile	-	Maverick MK3 Profile	38	Room Gobo	T2:70'	106	2/303	6	B *208	1024.1.1.0.1	1070 W
Chauvet MK3 Profile	-	Maverick MK3 Profile	38	Room Gobo	T2:70'	105	2/417	5	B *208	1026.1.1.0.1	1070 W
Chauvet MK3 Profile	-	Maverick MK3 Profile	38	Room Gobo	T2:70'	104	2/455	4	B *208	1025.1.1.0.1	1070 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	203	2/199	3	A	1048.1.1.0.1	339 W
Chauvet R2 Wash	-	Chauvet Rogue R2 Wash	33	Bax	T1:160'	205	2/133	4	A	1049.1.1.0.1	339 W
